大类,指令,说明,,,,,,
MySQL /数据操作,SELECT * FROM users WHERE age > 18;,大于,,,,,,
MySQL /数据操作,SELECT * FROM users WHERE age BETWEEN 18 AND 30;,范围,,,,,,
MySQL /数据操作,"SELECT * FROM users WHERE username IN ('john', 'jane');",IN 条件,,,,,,
MySQL /数据操作,SELECT * FROM users WHERE username LIKE 'j%';,模糊匹配,,,,,,
MySQL /数据操作,SELECT * FROM users ORDER BY created_at;,升序,,,,,,
MySQL /数据操作,SELECT * FROM users ORDER BY created_at DESC;,降序,,,,,,
MySQL /数据操作,"SELECT * FROM users ORDER BY country, age DESC;",多列排序,,,,,,
MySQL /数据操作,SELECT * FROM users LIMIT 10;,前 10 条,,,,,,
MySQL /数据操作,SELECT * FROM users LIMIT 10 OFFSET 20;,偏移量,,,,,,
MySQL /数据操作,"SELECT * FROM users LIMIT 20, 10;",MySQL 语法,,,,,,
MySQL /数据操作,"SELECT country, COUNT(*) as cnt FROM users GROUP BY country;",分组统计,,,,,,
MySQL /数据操作,"SELECT country, AVG(age) as avg_age FROM users GROUP BY country;",分组平均,,,,,,
MySQL /数据操作,"SELECT country, COUNT(*) as cnt FROM users GROUP BY country HAVING cnt > 100;",分组后过滤,,,,,,
MySQL /数据操作,"SELECT u.*, o.* FROM users u INNER JOIN orders o ON u.id = o.user_id;",内连接,,,,,,
MySQL /数据操作,"SELECT u.*, o.* FROM users u LEFT JOIN orders o ON u.id = o.user_id;",左连接,,,,,,
MySQL /数据操作,"SELECT u.*, o.* FROM users u RIGHT JOIN orders o ON u.id = o.user_id;",右连接,,,,,,
MySQL /数据操作,"SELECT u.*, o.* FROM users u CROSS JOIN orders o;",交叉连接,,,,,,
MySQL /数据操作,SELECT name FROM users UNION SELECT name FROM admins;,去重联合,,,,,,
MySQL /数据操作,SELECT name FROM users UNION ALL SELECT name FROM admins;,不去重,,,,,,
MySQL /数据操作,UPDATE users SET email='new@example.com' WHERE id=1;,更新单条,,,,,,
MySQL /数据操作,UPDATE users SET status='active' WHERE status IS NULL;,条件更新,,,,,,
MySQL /数据操作,UPDATE users u JOIN orders o ON u.id=o.user_id SET u.vip=1 WHERE o.amount>1000;,JOIN 更新,,,,,,
MySQL /数据操作,DELETE FROM users WHERE id=1;,删除单条,,,,,,
MySQL /数据操作,DELETE FROM users WHERE status='inactive';,条件删除,,,,,,
MySQL /数据操作,"DELETE u, o FROM users u INNER JOIN orders o ON u.id=o.user_id WHERE u.id=1;",JOIN 删除,,,,,,
MySQL /数据操作,"LOAD DATA LOCAL INFILE '/path/data.csv' INTO TABLE users FIELDS TERMINATED BY ',' LINES TERMINATED BY '\n';",CSV 导入,,,,,,
MySQL /数据操作,LOAD DATA INFILE '/path/data.txt' INTO TABLE users;,TXT 导入,,,,,,
MySQL /数据操作,"SELECT * FROM users INTO OUTFILE '/tmp/users.csv' FIELDS TERMINATED BY ',' LINES TERMINATED BY '\n';",导出 CSV,,,,,,
MySQL /索引管理,SHOW INDEX FROM users;,显示索引,,,,,,
MySQL /索引管理,SHOW KEYS FROM users;,同义命令,,,,,,
MySQL /索引管理,CREATE INDEX idx_name ON users(name);,普通索引,,,,,,
MySQL /索引管理,CREATE UNIQUE INDEX idx_email ON users(email);,唯一索引,,,,,,
MySQL /索引管理,CREATE FULLTEXT INDEX idx_bio ON users(bio);,全文索引,,,,,,
MySQL /索引管理,CREATE SPATIAL INDEX idx_location ON users(location);,空间索引,,,,,,
MySQL /索引管理,"CREATE INDEX idx_name_age ON users(name, age);",组合索引,,,,,,
MySQL /索引管理,CREATE INDEX idx_email_prefix ON users(email(10));,前缀索引,,,,,,
MySQL /索引管理,DROP INDEX idx_name ON users;,删除索引,,,,,,
MySQL /索引管理,ALTER TABLE users DROP INDEX idx_name;,ALTER 方式,,,,,,
MySQL /索引管理,SELECT * FROM users FORCE INDEX (idx_name) WHERE name='john';,强制索引,,,,,,
MySQL /索引管理,SELECT * FROM users IGNORE INDEX (idx_name) WHERE name='john';,忽略索引,,,,,,
MySQL /索引管理,EXPLAIN SELECT * FROM users WHERE name='john';,执行计划,,,,,,
MySQL /索引管理,EXPLAIN FORMAT=JSON SELECT * FROM users WHERE name='john';,JSON 格式,,,,,,
MySQL /视图管理,CREATE VIEW active_users AS SELECT * FROM users WHERE status='active';,创建视图,,,,,,
MySQL /视图管理,CREATE OR REPLACE VIEW active_users AS SELECT * FROM users WHERE status='active';,替换视图,,,,,,
MySQL /视图管理,SHOW FULL TABLES WHERE TABLE_TYPE='VIEW';,显示所有视图,,,,,,
MySQL /视图管理,SHOW CREATE VIEW view_name;,查看创建语句,,,,,,
MySQL /视图管理,SELECT * FROM active_users;,查询视图,,,,,,
MySQL /视图管理,UPDATE active_users SET email='new@example.com' WHERE id=1;,更新视图数据,,,,,,
MySQL /视图管理,DROP VIEW IF EXISTS active_users;,删除视图,,,,,,
MySQL /存储过程和函数,DELIMITER $$,创建存储过程,,,,,,
MySQL /存储过程和函数,CREATE PROCEDURE get_user_by_id(IN user_id INT),创建或添加资源,,,,,,
MySQL /存储过程和函数,BEGIN,执行 BEGIN 命令,,,,,,
MySQL /存储过程和函数,SELECT * FROM users WHERE id=user_id;,执行 SELECT * FROM users WHERE id=user_id; 命令,,,,,,
MySQL /存储过程和函数,END$$,执行 END$$ 命令,,,,,,
MySQL /存储过程和函数,DELIMITER ;,创建存储过程,,,,,,
MySQL /存储过程和函数,CALL get_user_by_id(1);,调用存储过程,,,,,,
MySQL /存储过程和函数,SHOW PROCEDURE STATUS;,显示所有存储过程,,,,,,
MySQL /存储过程和函数,SHOW CREATE PROCEDURE procedure_name;,查看创建语句,,,,,,
MySQL /存储过程和函数,DROP PROCEDURE IF EXISTS procedure_name;,删除存储过程,,,,,,
MySQL /存储过程和函数,DELIMITER $$,创建函数,,,,,,
MySQL /存储过程和函数,CREATE FUNCTION get_user_name(user_id INT) RETURNS VARCHAR(50),创建或添加资源,,,,,,
MySQL /存储过程和函数,BEGIN,执行 BEGIN 命令,,,,,,
MySQL /存储过程和函数,DECLARE user_name VARCHAR(50);,执行 DECLARE user_name VARCHAR(50); 命令,,,,,,
MySQL /存储过程和函数,SELECT username INTO user_name FROM users WHERE id=user_id;,执行 SELECT username INTO user_name FROM users WHERE id=user_id; 命令,,,,,,
MySQL /存储过程和函数,RETURN user_name;,执行 RETURN user_name; 命令,,,,,,
MySQL /存储过程和函数,END$$,执行 END$$ 命令,,,,,,
MySQL /存储过程和函数,DELIMITER ;,创建函数,,,,,,
MySQL /存储过程和函数,SELECT get_user_name(1);,调用函数,,,,,,
MySQL /存储过程和函数,SHOW FUNCTION STATUS;,显示所有函数,,,,,,
MySQL /存储过程和函数,SHOW CREATE FUNCTION function_name;,查看创建语句,,,,,,
MySQL /触发器,DELIMITER $$,创建触发器,,,,,,
MySQL /触发器,CREATE TRIGGER before_user_insert BEFORE INSERT ON users,创建或添加资源,,,,,,
MySQL /触发器,FOR EACH ROW,执行 FOR EACH ROW 命令,,,,,,
MySQL /触发器,BEGIN,执行 BEGIN 命令,,,,,,
MySQL /触发器,SET NEW.created_at = NOW();,配置设备或系统参数,,,,,,
MySQL /触发器,END$$,执行 END$$ 命令,,,,,,
MySQL /触发器,DELIMITER ;,BEFORE 触发器,,,,,,
MySQL /触发器,DELIMITER $$,AFTER 触发器,,,,,,
MySQL /触发器,CREATE TRIGGER after_user_insert AFTER INSERT ON users,创建或添加资源,,,,,,
MySQL /触发器,FOR EACH ROW,执行 FOR EACH ROW 命令,,,,,,
MySQL /触发器,BEGIN,执行 BEGIN 命令,,,,,,
MySQL /触发器,"INSERT INTO user_logs (user_id, action) VALUES (NEW.id, 'inserted');",查看日志信息,,,,,,
MySQL /触发器,END$$,执行 END$$ 命令,,,,,,
MySQL /触发器,DELIMITER ;,执行 DELIMITER ; 命令,,,,,,
MySQL /触发器,SHOW TRIGGERS;,显示所有触发器,,,,,,
MySQL /触发器,SHOW CREATE TRIGGER trigger_name;,查看创建语句,,,,,,
MySQL /触发器,DROP TRIGGER IF EXISTS trigger_name;,删除触发器,,,,,,
MySQL /事务管理,START TRANSACTION;,开始事务,,,,,,
MySQL /事务管理,BEGIN;,同义命令,,,,,,
MySQL /事务管理,COMMIT;,提交事务,,,,,,
MySQL /事务管理,ROLLBACK;,回滚事务,,,,,,
MySQL /事务管理,ROLLBACK TO savepoint_name;,回滚到保存点,,,,,,
MySQL /事务管理,SAVEPOINT savepoint_name;,创建保存点,,,,,,
MySQL /事务管理,RELEASE SAVEPOINT savepoint_name;,释放保存点,,,,,,
MySQL /事务管理,SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED;,会话级别,,,,,,
MySQL /事务管理,SET GLOBAL TRANSACTION ISOLATION LEVEL REPEATABLE READ;,全局级别,,,,,,
MySQL /事务管理,LOCK TABLES users READ;,读锁,,,,,,
MySQL /事务管理,LOCK TABLES users WRITE;,写锁,,,,,,
MySQL /事务管理,UNLOCK TABLES;,解锁,,,,,,
MySQL /用户和权限,CREATE USER 'john'@'localhost' IDENTIFIED BY 'password123';,本地用户,,,,,,
MySQL /用户和权限,CREATE USER 'john'@'%' IDENTIFIED BY 'password123';,任意主机,,,,,,
MySQL /用户和权限,GRANT ALL PRIVILEGES ON database_name.* TO 'john'@'localhost';,所有权限,,,,,,
MySQL /用户和权限,"GRANT SELECT, INSERT, UPDATE ON db.table TO 'john'@'localhost';",部分权限,,,,,,
MySQL /用户和权限,GRANT SELECT ON *.* TO 'john'@'%';,全局权限,,,,,,
MySQL /用户和权限,SHOW GRANTS FOR 'john'@'localhost';,查看用户权限,,,,,,
MySQL /用户和权限,REVOKE INSERT ON db.table FROM 'john'@'localhost';,撤销权限,,,,,,
MySQL /用户和权限,FLUSH PRIVILEGES;,刷新权限,,,,,,
MySQL /用户和权限,RENAME USER 'john'@'localhost' TO 'jane'@'localhost';,重命名用户,,,,,,
MySQL /用户和权限,DROP USER IF EXISTS 'john'@'localhost';,删除用户,,,,,,
MySQL /用户和权限,ALTER USER 'john'@'localhost' IDENTIFIED BY 'new_password';,修改密码,,,,,,
MySQL /用户和权限,SET PASSWORD FOR 'john'@'localhost' = PASSWORD('new_password');,旧语法,,,,,,
MySQL /变量和配置,SHOW VARIABLES;,所有变量,,,,,,
MySQL /变量和配置,SHOW VARIABLES LIKE 'max_connections';,特定变量,,,,,,
MySQL /变量和配置,SELECT @@version;,版本信息,,,,,,
MySQL /变量和配置,SELECT @@global.max_connections;,全局变量,,,,,,
MySQL /变量和配置,SELECT @@session.autocommit;,会话变量,,,,,,
MySQL /变量和配置,SET GLOBAL max_connections = 200;,全局变量,,,,,,
MySQL /变量和配置,SET SESSION autocommit = 0;,会话变量,,,,,,
MySQL /变量和配置,SET @my_var = 10;,用户变量,,,,,,
MySQL /变量和配置,SHOW STATUS;,所有状态,,,,,,
MySQL /变量和配置,SHOW STATUS LIKE 'Threads_connected';,连接数,,,,,,
MySQL /变量和配置,SHOW GLOBAL STATUS;,全局状态,,,,,,
MySQL /变量和配置,SHOW PROCESSLIST;,进程列表,,,,,,
MySQL /变量和配置,SHOW FULL PROCESSLIST;,完整进程列表,,,,,,
MySQL /变量和配置,KILL process_id;,杀死进程,,,,,,
MySQL /变量和配置,KILL QUERY process_id;,杀死查询,,,,,,
MySQL /日志管理,SHOW BINARY LOGS;,二进制日志列表,,,,,,
MySQL /日志管理,SHOW BINLOG EVENTS IN 'log_name';,日志事件,,,,,,
MySQL /日志管理,PURGE BINARY LOGS BEFORE '2026-01-01';,清理日志,,,,,,
MySQL /日志管理,SET GLOBAL slow_query_log = 'ON';,启用慢查询,,,,,,
MySQL /日志管理,SET GLOBAL long_query_time = 2;,2 秒阈值,,,,,,
MySQL /日志管理,SET GLOBAL general_log = 'ON';,启用通用日志,,,,,,
MySQL /日志管理,SET GLOBAL general_log_file = '/var/log/mysql/general.log';,日志文件,,,,,,
MySQL /日志管理,SHOW VARIABLES LIKE 'log_error';,错误日志路径,,,,,,
MySQL /性能优化,EXPLAIN SELECT * FROM users WHERE name='john';,执行计划,,,,,,
MySQL /性能优化,EXPLAIN ANALYZE SELECT * FROM users WHERE name='john';,实际执行,,,,,,
MySQL /性能优化,SHOW VARIABLES LIKE 'query_cache%';,查询缓存配置,,,,,,
MySQL /性能优化,RESET QUERY CACHE;,重置查询缓存,,,,,,
MySQL /性能优化,OPTIMIZE TABLE users;,优化表,,,,,,
MySQL /性能优化,ANALYZE TABLE users;,分析表,,,,,,
MySQL /性能优化,CHECK TABLE users FOR UPGRADE;,检查升级,,,,,,
MySQL /性能优化,SHOW VARIABLES LIKE 'innodb_buffer_pool_size';,缓冲池大小,,,,,,
MySQL /性能优化,SHOW ENGINE INNODB STATUS;,InnoDB 状态,,,,,,
MySQL /主从复制,"CHANGE MASTER TO MASTER_HOST='master_host', MASTER_USER='repl', MASTER_PASSWORD='password';",从库配置,,,,,,
MySQL /主从复制,START SLAVE;,启动复制,,,,,,
MySQL /主从复制,STOP SLAVE;,停止复制,,,,,,
MySQL /主从复制,SHOW SLAVE STATUS\G,从库状态,,,,,,
MySQL /主从复制,SHOW MASTER STATUS;,主库状态,,,,,,
MySQL /主从复制,SET GLOBAL gtid_mode = ON;,启用 GTID,,,,,,
MySQL /主从复制,SET GLOBAL enforce_gtid_consistency = ON;,强制 GTID,,,,,,
MySQL /实用技巧,mysql -u root -p -e SOURCE /path/script1.sql; SOURCE /path/script2.sql;"",批量执行,,,,,,
MySQL /实用技巧,CREATE EVENT daily_cleanup ON SCHEDULE EVERY 1 DAY DO TRUNCATE TABLE temp_data;,定时任务,,,,,,
MySQL /实用技巧,CREATE TEMPORARY TABLE tmp_users SELECT * FROM users WHERE status='active';,临时表,,,,,,
MySQL /实用技巧,INSERT INTO users (username) SELECT MD5(RAND());,随机数据,,,,,,
MySQL /实用技巧,SELECT MAX(CASE WHEN status='active' THEN cnt END) as active_count FROM (...);,行转列,,,,,,
MySQL /实用技巧,"SELECT * FROM users LIMIT 0, 10;",第 1 页,,,,,,
MySQL /实用技巧,"SELECT * FROM users LIMIT 10, 10;",第 2 页,,,,,,
MySQL /实用技巧,"SELECT email, COUNT(*) as cnt FROM users GROUP BY email HAVING cnt > 1;",重复邮箱,,,,,,
MySQL /实用技巧,SELECT id FROM users WHERE id NOT IN (SELECT user_id FROM orders);,缺失记录,,,,,,
MySQL /实用技巧,"SELECT CONCAT(REPEAT(' ', level), name) FROM categories;",树形结构,,,,,,
MySQL /实用技巧,SELECT data->'$.name' as name FROM users;,JSON 字段提取,,,,,,
Nginx /基础操作,nginx,默认配置启动,,,,,,
Nginx /基础操作,nginx -c /path/to/nginx.conf,指定配置文件,,,,,,
Nginx /基础操作,nginx -t,测试配置,,,,,,
Nginx /基础操作,nginx -s stop,立即停止,,,,,,
Nginx /基础操作,nginx -s quit,优雅停止（处理完请求）,,,,,,
Nginx /基础操作,nginx -s reload,重新加载配置（不中断服务）,,,,,,
Nginx /基础操作,kill -HUP $(cat /var/run/nginx.pid),发送 HUP 信号,,,,,,
Nginx /基础操作,nginx -s reopen,重新打开日志文件,,,,,,
Nginx /基础操作,nginx -t,测试配置文件语法,,,,,,
Nginx /基础操作,nginx -T,测试并显示完整配置,,,,,,
Nginx /基础操作,nginx -v,显示版本,,,,,,
Nginx /基础操作,nginx -V,显示版本和编译参数,,,,,,
Nginx /基础操作,nginx -p /usr/local/nginx,指定前缀路径,,,,,,
Nginx /基础操作,nginx -g daemon off;"",前台运行,,,,,,
Nginx /基础操作,nginx -g error_log /var/log/nginx/error.log debug;"",调试日志,,,,,,
Nginx /进程管理,ps aux | grep nginx,查看 Nginx 进程,,,,,,
Nginx /进程管理,ps -ef | grep nginx,详细进程信息,,,,,,
Nginx /进程管理,ps aux | grep nginx: master process"",主进程,,,,,,
Nginx /进程管理,ps aux | grep nginx: worker process"",工作进程,,,,,,
Nginx /进程管理,nginx -s upgrade,平滑升级到新版本,,,,,,
Nginx /进程管理,kill -TERM $(cat /var/run/nginx.pid),优雅终止,,,,,,
Nginx /进程管理,kill -KILL $(cat /var/run/nginx.pid),强制终止,,,,,,
Nginx /日志管理,tail -f /var/log/nginx/access.log,实时查看访问日志,,,,,,
Nginx /日志管理,tail -100f /var/log/nginx/access.log,最后 100 行并跟踪,,,,,,
Nginx /日志管理,tail -f /var/log/nginx/error.log,实时查看错误日志,,,,,,
Nginx /日志管理,grep error" /var/log/nginx/error.log",搜索错误,,,,,,
Nginx /日志管理,logrotate -f /etc/logrotate.d/nginx,强制轮转日志,,,,,,
Nginx /日志管理,awk '{print $1}' /var/log/nginx/access.log | sort | uniq -c,IP 统计,,,,,,
Nginx /日志管理,awk '{print $7}' /var/log/nginx/access.log | sort | uniq -c,URL 统计,,,,,,
Nginx /日志管理,awk '{print $9}' /var/log/nginx/access.log | sort | uniq -c,状态码统计,,,,,,
Nginx /日志管理,watch -n 1 'tail -10 /var/log/nginx/access.log',每秒刷新,,,,,,
Nginx /日志管理,awk '{print $1}' access.log | wc -l,PV,,,,,,
Nginx /日志管理,awk '{print $1}' access.log | sort | uniq | wc -l,UV,,,,,,
Nginx /配置管理,vim /etc/nginx/nginx.conf,编辑主配置,,,,,,
Nginx /配置管理,vim /usr/local/nginx/conf/nginx.conf,默认配置路径,,,,,,
Nginx /配置管理,vim /etc/nginx/conf.d/default.conf,默认虚拟主机,,,,,,
Nginx /配置管理,vim /etc/nginx/conf.d/example.com.conf,自定义虚拟主机,,,,,,
Nginx /配置管理,include /etc/nginx/mime.types;,MIME 类型,,,,,,
Nginx /配置管理,include /etc/nginx/conf.d/*.conf;,包含所有 conf 文件,,,,,,
Nginx /配置管理,nginx -t,测试配置,,,,,,
Nginx /配置管理,nginx -T,显示完整配置,,,,,,
Nginx /性能优化,worker_processes auto;,自动设置 worker 数量,,,,,,
Nginx /性能优化,worker_processes 4;,固定 4 个 worker,,,,,,
Nginx /性能优化,worker_cpu_affinity auto;,自动绑定 CPU,,,,,,
Nginx /性能优化,worker_connections 10240;,每个 worker 最大连接数,,,,,,
Nginx /性能优化,worker_rlimit_nofile 65535;,文件描述符限制,,,,,,
Nginx /性能优化,use epoll;,Linux 使用 epoll,,,,,,
Nginx /性能优化,use kqueue;,BSD 使用 kqueue,,,,,,
Nginx /性能优化,multi_accept on;,一次接受多个连接,,,,,,
Nginx /性能优化,keepalive_timeout 65;,保持连接超时,,,,,,
Nginx /性能优化,keepalive_requests 100;,保持连接最大请求数,,,,,,
Nginx /性能优化,sendfile on;,启用 sendfile,,,,,,
Nginx /性能优化,tcp_nopush on;,TCP 优化,,,,,,
Nginx /性能优化,tcp_nodelay on;,Nagle 算法,,,,,,
Nginx /性能优化,client_body_buffer_size 10k;,客户端 body 缓冲,,,,,,
Nginx /性能优化,client_header_buffer_size 1k;,头部缓冲,,,,,,
Nginx /性能优化,large_client_header_buffers 4 8k;,大头部缓冲,,,,,,
Nginx /性能优化,gzip on;,启用 gzip,,,,,,
Nginx /性能优化,gzip_vary on;,添加 Vary 头,,,,,,
Nginx /性能优化,gzip_min_length 1k;,最小压缩长度,,,,,,
Nginx /性能优化,gzip_comp_level 6;,压缩级别 1-9,,,,,,
Nginx /虚拟主机配置,server {,基于域名的虚拟主机,,,,,,
Nginx /虚拟主机配置,listen 80;,执行 listen 80; 命令,,,,,,
Nginx /虚拟主机配置,server_name example.com www.example.com;,执行 server_name example.com www.example.com; 命令,,,,,,
Nginx /虚拟主机配置,root /var/www/example;,执行 root /var/www/example; 命令,,,,,,
Nginx /虚拟主机配置,},执行 } 命令,,,,,,
Nginx /虚拟主机配置,server {,基于端口的虚拟主机,,,,,,
Nginx /虚拟主机配置,listen 8080;,执行 listen 8080; 命令,,,,,,
Nginx /虚拟主机配置,server_name example.com;,执行 server_name example.com; 命令,,,,,,
